metric_id,store_id,year,month,total_sales,total_customers,avg_daily_sales,max_daily_sales,promo_days,promo_sales_lift,open_days
44,918,2014,8,126418.00,13182,4862.23,6658.00,11,42.94,26
45,558,2014,12,86258.00,11271,3450.32,5096.00,10,30.20,25
46,878,2014,10,228804.00,21028,9152.16,13559.00,12,37.87,25
47,597,2013,9,116486.00,17654,4659.44,6122.00,10,23.81,25
48,129,2013,8,240275.00,31040,9241.35,13701.00,11,47.32,26
49,812,2015,7,172741.00,19992,6397.81,10402.00,13,47.94,27
50,639,2014,11,123941.00,12144,5164.21,8124.00,15,66.47,24
51,171,2014,11,229560.00,22850,9565.00,15399.00,15,52.13,24
52,703,2014,2,76045.00,8663,3168.54,5294.00,10,54.78,24
53,692,2013,2,158847.00,19723,6618.63,11287.00,10,65.01,24
54,579,2015,6,206176.00,21583,8247.04,14339.00,11,63.02,25
55,257,2014,6,128831.00,14971,5367.96,9163.00,11,56.17,24
56,1014,2014,2,292261.00,32482,12177.54,23543.00,10,67.97,24
57,359,2013,11,176619.00,15702,7064.76,9087.00,10,6.63,25
58,958,2013,7,126382.00,16448,4680.81,7286.00,13,43.38,27
59,1079,2013,4,213664.00,17235,8546.56,12435.00,12,54.81,25
60,389,2015,3,284836.00,33425,10955.23,15955.00,12,41.00,26
61,746,2013,12,175947.00,13911,7331.13,12408.00,10,60.20,24
62,93,2013,8,149752.00,16005,5546.37,9576.00,12,71.66,27
63,571,2013,5,179455.00,13462,7802.39,9942.00,11,10.82,23
64,776,2015,5,113299.00,12530,4926.04,6825.00,10,23.34,23
65,1050,2015,5,179270.00,12686,7794.35,9689.00,10,14.57,23
66,491,2014,8,172380.00,13582,6630.00,9918.00,11,32.93,26
67,268,2015,6,136256.00,15491,5240.62,9319.00,12,53.46,26
68,465,2015,4,201343.00,15246,8389.29,12433.00,11,56.40,24
69,802,2014,8,171877.00,13270,6610.65,9804.00,11,31.58,26
70,149,2014,3,139436.00,12221,5362.92,10905.00,11,58.26,26
71,867,2013,9,113509.00,11213,3783.63,6665.00,10,49.78,30
72,850,2013,2,133446.00,15323,5560.25,9316.00,10,39.79,24
73,612,2014,5,169107.00,10753,6764.28,12160.00,11,28.91,25
74,811,2014,5,106256.00,18131,4250.24,6142.00,11,17.36,25
75,932,2014,2,168432.00,17424,7018.00,10643.00,10,43.92,24
76,80,2013,12,218743.00,16176,9114.29,14315.00,10,31.23,24
77,201,2013,11,123373.00,10758,4934.92,7049.00,10,18.81,25
78,480,2013,8,127196.00,16499,4710.96,7837.00,12,67.84,27
79,471,2015,3,180061.00,14765,6925.42,10610.00,12,32.40,26
80,588,2013,12,189015.00,18744,7875.63,13019.00,10,36.41,24
81,251,2013,8,464141.00,61423,17190.41,24020.00,12,21.90,27
82,495,2013,4,119993.00,9607,4799.72,8212.00,12,51.45,25
83,934,2015,5,161554.00,15787,7024.09,9310.00,10,25.70,23
84,785,2015,2,165457.00,14335,6894.04,11072.00,10,34.53,24
85,54,2014,10,197277.00,18545,7587.58,10317.00,12,22.92,26
86,307,2014,3,63646.00,7289,2447.92,4312.00,11,86.46,26
87,292,2013,7,143675.00,17709,5321.30,8530.00,13,63.04,27
88,372,2013,5,206838.00,18455,8992.96,13983.00,11,31.39,23
89,975,2015,6,206683.00,18850,8267.32,13107.00,11,55.52,25
90,1055,2015,4,196303.00,24406,8179.29,13919.00,11,62.16,24
91,324,2014,11,147526.00,18022,5901.04,9587.00,15,90.33,25
92,653,2014,5,144239.00,12255,5769.56,7740.00,11,41.83,25
93,577,2014,4,133600.00,15822,5566.67,8286.00,11,54.03,24
94,694,2014,4,201551.00,19357,8397.96,11628.00,11,30.17,24
95,679,2013,8,254101.00,28438,9411.15,13707.00,12,36.67,27
96,759,2013,6,158395.00,18759,6335.80,10945.00,10,56.24,25
97,588,2015,3,163087.00,17101,6272.58,9734.00,12,30.92,26
98,668,2015,1,235084.00,30039,9041.69,11753.00,15,19.31,26
99,1081,2014,6,205390.00,33135,6846.33,9941.00,11,56.81,30
100,266,2014,4,92220.00,12081,3842.50,6051.00,11,50.54,24
101,908,2013,10,107469.00,9146,4133.42,8405.00,10,71.94,26
102,175,2013,6,141754.00,17213,5670.16,8625.00,10,28.31,25
103,603,2013,7,166657.00,23088,6172.48,10501.00,13,57.55,27
104,69,2015,6,232713.00,29018,9308.52,13592.00,11,46.09,25
105,547,2015,4,148548.00,11061,6189.50,9307.00,11,21.87,24
106,471,2013,12,209975.00,16776,8748.96,13333.00,10,37.40,24
107,134,2013,7,123051.00,12784,4557.44,6838.00,13,39.70,27
108,160,2015,1,143600.00,13876,5523.08,8253.00,15,33.47,26
109,815,2014,3,247456.00,24361,9517.54,14971.00,11,28.62,26
110,800,2013,6,134976.00,12808,5399.04,7115.00,10,23.05,25
111,184,2013,3,174115.00,15993,6964.60,10816.00,14,38.55,25
112,264,2013,1,194032.00,26378,7462.77,12077.00,10,39.25,26
113,504,2013,1,160248.00,24081,6163.38,9336.00,10,15.56,26
114,151,2015,5,171285.00,16248,7447.17,10702.00,10,19.26,23
115,752,2014,12,154466.00,12413,6178.64,11926.00,10,74.69,25
116,28,2014,6,133655.00,14477,5568.96,10961.00,11,81.67,24
117,586,2014,1,356046.00,55708,13694.08,18804.00,10,20.89,26
118,413,2013,4,172457.00,22653,6898.28,10400.00,12,37.60,25
119,891,2013,2,173558.00,24741,7546.00,10821.00,10,13.70,23
120,538,2015,7,106149.00,15062,3931.44,6381.00,13,41.96,27
121,201,2015,2,126517.00,10480,5271.54,6883.00,10,17.07,24
122,1096,2015,2,144190.00,16058,6007.92,8851.00,10,25.92,24
123,841,2013,5,76130.00,11050,3172.08,5096.00,12,61.44,24
124,110,2015,7,134897.00,16729,4996.19,7729.00,13,38.35,27
125,343,2014,5,175356.00,17492,7014.24,11190.00,11,42.49,25
126,985,2013,11,219546.00,18687,8781.84,19374.00,10,23.25,25
127,640,2014,11,297108.00,21523,12379.50,18604.00,15,36.53,24
128,177,2014,8,99090.00,11920,3811.15,6403.00,11,54.82,26
129,654,2014,6,161614.00,16745,6733.92,12504.00,11,81.55,24
130,522,2013,9,190066.00,15071,7602.64,11759.00,10,35.37,25
131,363,2013,8,182560.00,25318,6761.48,10838.00,12,42.98,27
132,999,2013,6,217256.00,16708,8690.24,14881.00,10,45.25,25
133,225,2013,2,112328.00,12346,4680.33,8586.00,10,55.15,24
134,908,2015,1,102055.00,8761,3925.19,6125.00,15,103.44,26
135,603,2014,8,162807.00,21449,6261.81,10140.00,11,48.59,26
136,1041,2014,6,143581.00,15275,6242.65,7620.00,10,24.18,23
137,744,2014,1,175578.00,20111,7023.12,11299.00,9,27.45,25
138,529,2013,4,171592.00,17751,6863.68,9158.00,12,35.53,25
139,696,2015,7,248473.00,27581,9202.70,14308.00,13,33.67,27
140,399,2015,1,148091.00,14531,5923.64,9889.00,14,41.36,25
141,481,2014,10,139761.00,13008,5375.42,8115.00,12,34.54,26
142,571,2014,6,184900.00,13800,8039.13,12113.00,10,33.42,23
143,385,2015,6,189598.00,16075,7583.92,13224.00,11,60.13,25
144,507,2015,5,207059.00,16068,9002.57,12699.00,10,22.55,23
145,145,2014,5,187656.00,28121,7506.24,10295.00,11,34.95,25
146,787,2013,12,324756.00,34047,13531.50,21933.00,10,45.87,24
147,532,2014,7,272158.00,32108,10079.93,12536.00,13,16.92,27
148,891,2014,3,201904.00,27910,8076.16,13924.00,10,29.18,25
149,972,2014,2,77673.00,9076,3236.38,6864.00,10,84.32,24
150,160,2013,10,136296.00,13673,5242.15,8689.00,10,41.15,26
151,400,2013,10,201614.00,28752,8064.56,13966.00,10,51.66,25
152,241,2013,9,148171.00,17110,5926.84,8923.00,10,25.08,25
153,27,2013,4,219189.00,26417,8767.56,14898.00,12,61.10,25
154,786,2015,2,79069.00,12270,3294.54,5631.00,10,73.17,24
155,551,2015,1,169306.00,24577,6511.77,10066.00,15,31.53,26
156,504,2014,2,156194.00,23018,6508.08,9630.00,10,17.29,24
157,230,2014,1,182138.00,23136,7005.31,10011.00,10,26.21,26
158,628,2013,11,158528.00,19426,6097.23,8830.00,10,35.81,26
159,211,2013,8,331916.00,39190,12293.19,18960.00,12,48.80,27
160,894,2015,7,224969.00,26287,8332.19,12432.00,13,62.11,27
161,1014,2015,3,342683.00,36088,13180.12,21631.00,12,74.78,26
162,1056,2013,11,90958.00,8726,3638.32,5667.00,10,6.31,25
163,301,2013,4,127600.00,14554,5104.00,6249.00,12,29.10,25
164,28,2015,7,127262.00,13668,4713.41,7661.00,13,80.36,27
165,825,2015,1,126594.00,14344,5063.76,7676.00,14,27.20,25
166,94,2014,10,177214.00,16380,6815.92,10163.00,12,41.22,26
167,253,2014,10,137761.00,16929,5298.50,10238.00,12,49.87,26
168,1105,2013,7,109766.00,12499,4065.41,8266.00,13,85.17,27
169,718,2013,7,216280.00,23032,8010.37,12506.00,13,56.99,27
170,1041,2015,7,168122.00,17169,6226.74,7825.00,13,26.35,27
171,999,2014,7,233965.00,16556,8665.37,13836.00,13,63.35,27
172,359,2014,12,207201.00,17174,8288.04,13645.00,10,22.52,25
173,451,2014,9,137986.00,11856,5307.15,9001.00,12,43.66,26
174,613,2015,7,162727.00,24115,6026.93,8568.00,13,24.36,27
175,838,2014,10,204427.00,21076,8177.08,12478.00,12,32.89,25
176,517,2013,11,140651.00,15915,5409.65,8632.00,10,42.65,26
177,557,2013,10,134039.00,21703,5155.35,7343.00,10,21.66,26
178,89,2013,10,150458.00,16465,5786.85,9027.00,10,26.07,26
179,772,2015,7,110176.00,13940,4080.59,5779.00,13,27.73,27
180,599,2014,11,244288.00,21474,9771.52,14547.00,15,-1.90,25
181,145,2015,6,193896.00,27596,7755.84,12121.00,11,51.48,25
182,370,2014,10,186179.00,16021,7160.73,10283.00,12,35.32,26
183,211,2014,9,321562.00,37272,12367.77,19783.00,12,53.03,26
184,410,2014,9,159065.00,20059,6117.88,9598.00,12,64.33,26
185,252,2013,9,235819.00,19230,9432.76,17254.00,10,52.63,25
186,412,2013,4,209856.00,15204,8394.24,11362.00,12,5.24,25
187,972,2013,1,79771.00,9710,3068.12,6515.00,10,71.16,26
188,935,2015,6,150979.00,15522,5806.88,9206.00,12,63.23,26
189,358,2015,1,274041.00,28735,10540.04,15926.00,15,35.89,26
190,364,2014,10,126093.00,15592,4849.73,6475.00,12,33.88,26
191,613,2014,6,160202.00,23614,6675.08,12031.00,11,38.29,24
192,639,2013,10,115782.00,12457,4453.15,7935.00,10,43.43,26
193,1034,2013,7,170448.00,19031,6312.89,11070.00,13,93.30,27
194,1039,2014,7,311373.00,37817,11532.33,14286.00,13,14.83,27
195,226,2014,4,182105.00,17585,7587.71,10695.00,11,54.30,24
196,308,2014,4,215178.00,22320,8965.75,14334.00,11,47.72,24
197,868,2013,10,232011.00,16726,8923.50,12921.00,10,24.97,26
198,215,2013,5,151443.00,11996,6584.48,9098.00,11,34.01,23
199,109,2015,6,173263.00,19377,6663.96,10729.00,12,49.91,26
200,624,2015,5,162822.00,15495,7079.22,11892.00,10,36.84,23
201,890,2013,1,128308.00,10274,4934.92,8465.00,10,47.18,26
202,853,2015,6,240916.00,25798,9636.64,14024.00,11,51.46,25
203,771,2014,6,170163.00,16793,7398.39,10852.00,10,45.28,23
204,931,2014,1,76694.00,8858,2949.77,4158.00,10,31.47,26
205,200,2013,10,189551.00,24870,7290.42,9664.00,10,16.45,26
206,957,2013,6,179779.00,20059,7191.16,12955.00,10,55.29,25
207,883,2015,7,119500.00,12047,4425.93,6070.00,13,41.44,27
208,511,2015,2,137011.00,19837,5708.79,6971.00,10,10.54,24
209,1108,2014,11,154485.00,14940,6436.88,11112.00,15,112.12,24
210,455,2013,5,149259.00,10152,6489.52,9250.00,11,-1.99,23
211,769,2013,4,274135.00,82914,9137.83,11612.00,12,11.95,30
212,496,2015,6,215364.00,21613,8283.23,14251.00,12,58.96,26
213,237,2015,4,121314.00,14745,5054.75,6897.00,11,30.83,24
214,721,2014,10,188191.00,18941,7238.12,10182.00,12,19.96,26
215,267,2015,6,219415.00,25672,8439.04,11409.00,12,24.57,26
216,293,2014,9,155998.00,20493,5999.92,9530.00,12,56.46,26
217,27,2014,5,228966.00,26391,9158.64,14844.00,11,46.13,25
218,587,2014,1,230473.00,16367,9218.92,17016.00,9,31.66,25
219,12,2013,9,170648.00,20909,6825.92,9849.00,10,57.32,25
220,572,2013,5,164309.00,14125,7143.87,11545.00,11,43.00,23
221,16,2013,4,173871.00,20621,6954.84,10571.00,12,46.33,25
222,732,2013,1,103534.00,11883,3982.08,6555.00,10,25.69,26
223,695,2015,6,157627.00,13277,6305.08,11897.00,11,116.89,25
224,297,2014,6,167559.00,16744,7285.17,12366.00,10,63.19,23
225,414,2014,6,150377.00,11131,6538.13,10605.00,10,23.36,23
226,1054,2014,2,136945.00,14568,5706.04,10022.00,10,50.14,24
227,1013,2014,1,101629.00,11345,3908.81,6880.00,10,59.25,26
228,282,2013,10,114986.00,17554,4422.54,6509.00,10,28.47,26
229,323,2013,9,162885.00,14241,6515.40,8829.00,10,22.22,25
230,950,2014,11,140910.00,13630,5871.25,9120.00,15,46.46,24
231,1039,2013,6,159209.00,22005,6633.71,9909.00,10,26.76,24
232,998,2013,5,98537.00,12923,4284.22,6092.00,11,27.11,23
233,185,2013,4,170189.00,13328,6807.56,10448.00,12,42.99,25
234,312,2015,2,126502.00,12593,5270.92,8453.00,10,42.87,24
235,429,2015,2,115182.00,9366,4799.25,7491.00,10,21.92,24
236,868,2015,1,243618.00,16185,9369.92,12406.00,15,15.66,26
237,643,2014,7,210610.00,26419,7800.37,11543.00,13,48.95,27
238,725,2014,6,135269.00,14253,5636.21,7396.00,11,29.22,24
239,53,2013,8,149345.00,16605,5531.30,8784.00,12,32.62,27
240,691,2013,1,203551.00,15299,7828.88,11721.00,10,38.71,26
241,736,2015,6,131063.00,12122,5242.52,8921.00,11,52.83,25
242,308,2015,5,205339.00,20669,8927.78,11921.00,10,32.22,23
243,1082,2014,7,181600.00,26529,6725.93,9105.00,13,41.17,27
244,425,2014,5,81761.00,11084,3270.44,4576.00,11,43.32,25
245,511,2013,11,149145.00,21618,5736.35,8003.00,10,2.94,26
246,94,2013,9,164354.00,15647,6574.16,12624.00,10,42.95,25
247,857,2015,3,209134.00,24745,8043.62,11412.00,12,24.17,26
248,200,2015,1,198274.00,24550,7625.92,10534.00,15,20.19,26
249,440,2015,1,134970.00,14811,5398.80,8910.00,14,49.62,25
250,455,2014,6,178287.00,11117,7751.61,9824.00,10,26.73,23
251,855,2014,1,138807.00,14885,5552.28,9973.00,9,53.40,25
252,680,2013,9,113197.00,18009,4527.88,6149.00,10,9.42,25
253,840,2013,5,182068.00,26424,7586.17,10207.00,12,43.23,24
254,144,2013,3,198015.00,18530,7920.60,11457.00,14,23.05,25
255,807,2015,7,271663.00,26085,10061.59,12681.00,13,14.86,27
256,111,2015,6,178822.00,14788,7152.88,10544.00,11,61.62,25
257,827,2015,2,284661.00,36300,11860.88,16167.00,10,0.17,24
258,792,2014,11,189652.00,16891,7902.17,13922.00,15,70.26,24
259,96,2014,9,135571.00,14322,5214.27,9877.00,12,104.74,26
260,68,2014,4,195396.00,28694,8141.50,12955.00,11,27.70,24
261,373,2013,5,101161.00,7332,4398.30,7024.00,11,18.43,23
262,1056,2015,2,103236.00,9672,4301.50,6455.00,10,25.83,24
263,325,2014,11,170635.00,16975,7109.79,10129.00,15,42.96,24
264,38,2014,3,151069.00,13637,5810.35,10246.00,11,66.64,26
265,150,2015,5,205709.00,19918,8943.87,12059.00,10,15.57,23
266,1069,2013,7,169055.00,21544,6261.30,10974.00,13,70.50,27
267,533,2014,8,228204.00,20722,8777.08,13700.00,11,40.56,26
268,337,2014,4,132197.00,10043,5508.21,7772.00,11,25.83,24
269,83,2013,9,90243.00,8262,3609.72,6059.00,10,47.24,25
270,878,2013,9,197591.00,18909,7903.64,12608.00,10,51.21,25
271,758,2013,5,113100.00,14844,4917.39,6867.00,11,38.58,23
272,146,2014,6,196914.00,17524,8561.48,16888.00,10,61.68,23
273,1100,2014,1,132389.00,17017,5091.88,9552.00,10,76.45,26
274,491,2013,7,175177.00,14314,6488.04,10498.00,13,48.90,27
275,173,2013,6,212026.00,25818,8481.04,13396.00,10,34.30,25
276,295,2013,3,119983.00,15424,4799.32,7661.00,14,44.96,25
277,856,2015,3,184837.00,24765,7109.12,9944.00,12,38.60,26
278,1111,2014,7,123314.00,10438,4567.19,7368.00,13,51.76,27
279,602,2014,8,153746.00,14632,5913.31,8630.00,11,40.53,26
280,349,2014,3,196633.00,20281,7562.81,9844.00,11,16.01,26
281,770,2013,4,163000.00,19304,6520.00,11189.00,12,56.89,25
282,257,2015,7,137035.00,15438,5075.37,7444.00,13,52.67,27
283,560,2013,6,324911.00,39492,12996.44,17493.00,10,10.22,25
284,307,2013,2,62205.00,7257,2591.88,4122.00,10,73.29,24
285,26,2014,4,166498.00,13954,6937.42,11269.00,11,68.12,24
286,902,2014,1,118106.00,15709,4724.24,6731.00,9,17.76,25
287,986,2013,12,195024.00,24564,8126.00,14035.00,10,52.41,24
288,1054,2015,3,163182.00,15696,6276.23,10633.00,12,52.85,26
289,641,2014,12,183939.00,15032,7357.56,14028.00,10,66.11,25
290,134,2014,8,113119.00,12480,4350.73,5977.00,11,29.83,26
291,857,2013,12,220049.00,27424,9168.71,13762.00,10,15.76,24
292,261,2013,5,300133.00,23091,13049.26,22593.00,11,86.06,23
293,68,2015,5,185132.00,27122,8049.22,12989.00,10,-14.49,23
294,944,2015,3,190501.00,29715,7326.96,12625.00,12,32.33,26
295,89,2015,1,150287.00,15190,6011.48,8610.00,14,39.64,25
296,303,2014,6,146833.00,16077,6384.04,10693.00,10,59.78,23
297,288,2013,9,132796.00,10217,5311.84,10771.00,10,56.27,25
298,648,2013,6,156646.00,14951,6265.84,10035.00,10,34.34,25
299,866,2013,9,147274.00,11202,5890.96,9890.00,10,40.18,25
300,3,2014,12,211560.00,22265,8462.40,13472.00,10,51.57,25
301,521,2014,9,125686.00,10494,4834.08,6783.00,12,37.85,26
302,690,2014,8,137682.00,20143,5295.46,8081.00,11,43.29,26
303,584,2015,6,129987.00,11184,5199.48,8048.00,11,44.47,25
304,798,2014,12,246097.00,26509,9843.88,18769.00,10,74.18,25
305,908,2014,11,106676.00,8980,4267.04,6695.00,15,83.98,25
306,759,2014,7,184585.00,20013,6836.48,10745.00,13,67.80,27
307,49,2013,10,166301.00,12703,6396.19,8829.00,10,21.06,26
308,330,2014,12,132329.00,13148,5293.16,7910.00,10,28.89,25
309,505,2013,12,136177.00,16182,5674.04,8779.00,10,54.36,24
310,709,2013,9,231846.00,30924,9273.84,13968.00,10,55.30,25
311,56,2013,4,173013.00,12272,6920.52,9692.00,12,25.20,25
312,484,2014,12,261798.00,22887,10471.92,16855.00,10,20.38,25
313,84,2014,11,335454.00,34842,13977.25,20931.00,15,30.63,24
314,893,2014,5,155334.00,20617,6213.36,8492.00,11,23.30,25
315,201,2014,1,123896.00,10815,4765.23,7839.00,10,32.87,26
316,1081,2015,7,202849.00,31220,6543.52,10386.00,13,54.16,31
317,827,2014,12,395759.00,46728,15830.36,20133.00,10,5.85,25
318,294,2014,9,145594.00,19724,5599.77,8591.00,12,61.45,26
319,1070,2014,9,176871.00,21740,6802.73,10972.00,12,38.12,26
320,664,2014,3,127629.00,15630,4908.81,9635.00,11,61.52,26
321,264,2014,2,177560.00,24074,7398.33,12156.00,10,51.28,24
322,39,2015,5,161196.00,19948,7008.52,12872.00,10,51.96,23
323,694,2015,5,202406.00,18843,8800.26,12089.00,10,5.75,23
324,65,2014,7,129572.00,11744,4798.96,7254.00,13,68.15,27
325,962,2014,3,167960.00,23002,6460.00,11744.00,11,66.72,26
326,610,2013,3,109585.00,13877,4383.40,7455.00,14,72.62,25
327,242,2014,11,104736.00,9051,4189.44,6828.00,15,64.72,25
328,1051,2014,5,191331.00,25545,7653.24,10565.00,11,41.54,25
329,240,2013,8,123685.00,12367,4580.93,6593.00,12,34.11,27
330,997,2013,4,123645.00,9972,4945.80,6949.00,12,52.45,25
331,923,2015,7,143842.00,18158,5327.48,6495.00,13,21.62,27
332,729,2013,5,247201.00,26052,10747.87,16021.00,11,35.17,23
333,197,2015,5,168073.00,19661,7307.52,9264.00,10,20.93,23
334,536,2015,5,196965.00,20257,8563.70,12013.00,10,29.00,23
335,363,2014,9,185862.00,24166,7148.54,11116.00,12,41.16,26
336,195,2014,2,254821.00,31955,10617.54,17176.00,10,35.74,24
337,1096,2013,11,126727.00,15386,5069.08,8088.00,10,23.57,25
338,212,2013,9,110122.00,11314,4404.88,6205.00,10,36.88,25
339,852,2013,3,126813.00,15715,5072.52,7396.00,14,67.00,25
340,376,2013,2,204837.00,23815,8534.88,13556.00,10,42.49,24
341,932,2013,1,180137.00,18098,6928.35,10106.00,10,48.01,26
342,339,2015,7,147625.00,18919,5467.59,7333.00,13,30.06,27
343,162,2015,3,206964.00,14410,7960.15,14777.00,12,55.93,26
344,318,2015,2,169579.00,15083,7065.79,10502.00,10,43.12,24
345,880,2014,11,201648.00,20661,8402.00,11016.00,15,36.24,24
346,1061,2014,11,202594.00,14781,8441.42,11703.00,15,16.17,24
347,614,2014,7,177544.00,26770,6575.70,8666.00,13,36.71,27
348,657,2014,2,137184.00,18358,5716.00,10220.00,10,44.29,24
349,43,2013,11,170198.00,15176,6807.92,10382.00,10,46.22,25
350,599,2013,10,226806.00,21101,8723.31,11355.00,10,12.09,26
351,541,2013,3,172441.00,22202,6897.64,10879.00,14,16.06,25
352,621,2013,1,140453.00,20221,5402.04,8578.00,10,45.31,26
353,1001,2014,8,123488.00,14326,4749.54,9352.00,11,55.08,26
354,346,2014,2,151712.00,14387,6321.33,9878.00,10,23.08,24
355,828,2013,12,162081.00,16690,6753.38,12207.00,10,60.54,24
356,95,2013,8,202011.00,22708,7481.89,12962.00,12,71.69,27
357,460,2015,4,92470.00,8286,3852.92,6419.00,11,91.03,24
358,149,2015,4,134773.00,11446,5615.54,7761.00,11,44.92,24
359,566,2014,6,118823.00,13316,4950.96,7455.00,11,46.32,24
360,385,2014,5,188272.00,16756,7530.88,12462.00,11,33.80,25
361,551,2013,10,159901.00,25297,6150.04,8982.00,10,12.52,26
362,54,2013,9,174521.00,16907,6980.84,10402.00,10,32.93,25
363,871,2013,7,150336.00,11646,5568.00,8521.00,13,21.19,27
364,214,2013,4,224900.00,18415,8996.00,12207.00,12,24.54,25
365,1090,2013,1,145064.00,18908,5579.38,10242.00,10,66.95,26
366,80,2015,3,202221.00,15274,7777.73,11591.00,12,26.33,26
367,897,2015,2,82780.00,8907,3449.17,4766.00,10,14.89,24
368,400,2015,1,228540.00,30522,8790.00,12601.00,15,56.16,26
369,495,2014,5,128311.00,9974,5132.44,7610.00,11,39.68,25
370,575,2014,3,147813.00,13216,5685.12,16456.00,11,131.90,26
371,119,2014,1,150746.00,16853,5797.92,9774.00,10,41.54,26
372,164,2013,8,145833.00,15320,5401.22,9934.00,12,63.97,27
373,720,2013,8,196938.00,21177,7294.00,10705.00,12,32.19,27
374,104,2013,5,249071.00,32688,10377.96,12418.00,12,2.04,24
375,376,2014,9,208983.00,23108,8037.81,14284.00,12,56.10,26
376,383,2013,3,458676.00,58730,18347.04,25152.00,14,18.40,25
377,703,2013,1,80731.00,8791,3105.04,5382.00,10,71.55,26
378,847,2015,7,176205.00,23835,6526.11,10011.00,13,34.49,27
379,231,2015,3,128457.00,10336,4940.65,9301.00,12,48.71,26
380,787,2015,3,276641.00,29870,10640.04,17697.00,12,42.97,26
381,553,2014,12,222548.00,19616,8901.92,12990.00,10,3.73,25
382,445,2014,8,223423.00,35613,8593.19,10961.00,11,11.88,26
383,506,2014,3,192841.00,21732,7416.96,13108.00,11,55.75,26
384,188,2014,2,117846.00,10536,4910.25,8552.00,10,52.50,24
385,15,2013,6,156117.00,16086,6244.68,8320.00,10,22.82,25
386,333,2013,6,237063.00,31147,9482.52,13330.00,10,29.42,25
387,1016,2015,4,139305.00,12227,5804.38,10102.00,11,88.71,24
388,277,2014,2,149951.00,12734,6247.96,9120.00,10,38.09,24
389,921,2013,3,263412.00,29831,10536.48,16488.00,14,71.82,25
390,444,2014,8,328129.00,39565,12620.35,15913.00,11,7.54,26
391,903,2014,2,272390.00,19533,11349.58,14781.00,10,14.85,24
392,612,2013,4,159624.00,10257,6384.96,9144.00,12,29.06,25
393,66,2013,1,146121.00,12878,5620.04,7867.00,10,25.97,26
394,990,2014,11,174880.00,14822,7286.67,10670.00,15,25.95,24
395,1066,2014,11,282928.00,27905,11788.67,16936.00,15,18.70,24
